source,target
나만의 시간이 필요해,I need my own time.
나빼고 다 행복한 거 같아,I think I am happy except me.
나쁜 꿈 꿨어,I had a bad dream.
나이 때문에 무시 받았어,I was ignored because of age.
나이 어리다고 무시해,I'm ignoring I'm young.
나이가 많은데 취직이 될까,"I am older,"
나이도 있으니 영양제 좀 챙겨볼까,"I am older, so I'll take a little nutrition."
나이들면서 눈물이 많아졌어,I have a lot of tears.
나이먹으니까 주름살 생겨,"I eat older,"
나중에 뭐하고 먹고 사냐,What are you eating and eating later?
나중에 뭐할까 고민이야,What are you doing later?
나중에 창업해야 겠지,I have to start it later.
나한테 감추는 게 하나도 없었으면,If there was nothing to hide me
나한테 거짓말 좀 안 했으면,If you did not lie to me
나한테 냄새 나면 어쩌지,What do you smell to me?
나한테 냄새 날까,I will smell me
나한테 너무 많은 걸 바라는 듯,I want you to be too much for me
나한테 문제가 많아,I have a lot of problems with me.
나한테 상의 좀 하지,I do not like me.
나한테 상의하면 좋을텐데,It would be nice to talk to me.
나한테 이상한 냄새 나나,I smell strange to me
나한테 할 말 있대 뭘까,What do you say to me?
나한테 행운 좀 왔으면 좋겠어,I wish I had a good luck to me.
나한테만 예의 차리래,I do not like me
나한테만 왜 이런 일이 일어날까,Why do this happen to me?
나한테만은 완전 솔직했으면,If I was perfect only to me
낙엽 밟는 소리 좋다,Leaf hanging
낙엽밟는 소리,Leaves
낚시 안 해봤는데,I did not fish.
낚시 안 해봤는데 재미있어 보인다,"I did not fish, but it looks funny."
낚시 재밌을까,Fishing funny
낚시 좋아하는 남자 어때,How about a fishing man?
낚시는 무슨 재미,What is fishing fun
난 동물 못키울거 같아,I think I can not see animals.
난 많이 노력한 거 같은데,I think I've been working a lot.
난 쓰레기야,I'm a trash.
난 왜 예쁘게 말을 못할까,Why can not I speak beautifully
난 왜 이모양일까,Why am I like this?
난 정말 안되겠다,I'm not really.
난 진짜 쓰레기야,I'm a real garbage.
난 천재다,I am a genius
난방비 비싼데 추워,Heating cost is expensive.
난방이 안돼,I can not have heating.
난방이 안돼나 추워,I can not have heating.
날 몇시간동안이나 기다리게했어,I've been waiting for a few hours.
날씨 건조한 거 같애,I think the weather is dry.
날씨 왜 이렇게 춥냐,Why is the weather so cold?
날씨 좀 풀린거 같아,I think it's getting better the weather.
날씨 좋은데,Weather is good
날씨 죽인다,Weather kill
날씨 짱 좋아,Good weather
날씨 풀렸다,The weather is solved.
날씨가 너무 눅눅해,The weather is too dumb.
날씨가 너무 추워,The weather is too cold
날씨가 북극같아,The weather is like Arctic.
날씨가 진짜 덥다,The weather is really hot.
날아 가고 싶어,I want to fly
남동생한테 자꾸 화내게 되네,I keep getting angry with my brother.
남들에게 인정받으려면 어떻게 해야 돼,How do I be able to recognize others
남들이 날 욕하는 거 같아,I think the others are swinging me.
남들이 다 손가락질 하는 거 같아,I think the others are all fingers.
남은 휴가가 없어,I do not have a remaining vacation.
남의 눈을 너무 신경써,I care about the eyes of others
남의 일 도와줘야 할까,Do I have to help others
남의 차 긁었어 내 돈,My car scratched my money
남이 걷지 않는 길을 가려고 해,I'm going to go to the way I do not walk.
남자 보통 어디서 만나,Men usually meet
남자 어디서 만나,Meet a man
남자 친구가 바래다 줬어,My boyfriend wanted me.
남자 화장하는 거 어때,How to make a man makeup
남자가 낚시를 너무 좋아해,The man likes fishing so much.
남자가 화장하는 거 어떻게 생각해,What do you think of a man's makeup?
남자면 편할 것 같아,I think it's easy for men.
남자였으면 좋겠어,I wish I had a man.
남자인지 여자인지 알려줘,Let me know if a man is a woman.
남자친구 교회 데려가고 싶어,I want to take a boyfriend church
남자친구 또 운동 갔어,I went to my boyfriend again.
남자친구 생일인데 뭘 줄까,"Boyfriend's birthday, what can I do?"
남자친구 승진 선물로 뭐가 좋을까,What can I do with my boyfriend promotion gift?
남자친구 오늘 따라 훈훈해 보인다,Boyfriend looks down today
남자친구 오늘 좀 질린다,Boyfriend takes a little bit
남자친구가 나 안 믿어줘,Believe your boyfriend
남자친구가 너무 바빠,Boyfriend is too busy
남자친구가 너무 운동만 해,My boyfriend is so exercise
남자친구가 너무 잘생겼어,My boyfriend was so handsome.
남자친구가 데려다줬어,My boyfriend gave me.
남자친구가 맞춤법을 너무 많이 틀려,My boyfriend is so much to spell too much
남자친구가 사업 시작한대,Boyfriend started business
남자친구가 사업한대,Boyfriend business
남자친구가 사진 실력 꽝,Boyfriend
남자친구가 사진을 너무 못 찍어,My boyfriend can not take pictures too
남자친구가 안놀아 줘,Give me your boyfriend.
남자친구가 애교가 많아,A boyfriend is a lot of children.
남자친구가 욕함,Boyfriend
남자친구가 의심해,I suspect my boyfriend.
남자친구가 이벤트 해 주면 좋겠다,I wish my boyfriend will event.
남자친구가 이벤트를 잘 안해줘,Boyfriend does not do the event
남자친구가 입이 험해,Boyfriend is tough
남자친구가 자꾸 잔소리해,Boyfriend keeps nagging
남자친구가 잔소리가 심해,Boyfriend is a nagging
남자친구가 전화를 잘 안해,Boyfriend does not make good call
남자친구가 전화하는 걸 안 좋아해,I do not like my boyfriend called.
남자친구가 홧김에 욕함,Boyfriend is a boyfriend
남자친구는 어디서 만나,Where to meet boyfriend
남자친구랑 봉사활동 해보려고,I want to serve with my boyfriend.
남자친구랑 종교 문제로 다툼,Explore with a boyfriend and a religious problem
남자친구랑 종교가 달라,Religion with boyfriend
남자친구한테 질린 거 같아,I think I'm tired of my boyfriend.
남친 SNS에 내 사진 없어,I do not have my photos on my boyfriend SNS.
남친 때문에 살찐 듯,As fat because of my boyfriend
남친 보여줄까,Would you show your boyfriend?
남친 생일선물 뭘 주면 좋을까,What do you want to do with your boyfriend's birthday?
남친 승진 선물 추천,Recommendation of a boyfriend promotion
남친 어디서 만나,Where to meet your boyfriend
남친 프로필에 내 사진 왜 안올릴까,Why do not you put my picture in my boyfriend's profile?
남친 프사에 내 사진 없어,I do not have my picture on my boyfriend.
남친이 SNS에 내 사진에 안 올려,My boyfriend does not put on my photos on SNS
남친이 입이 험해,My boyfriend is wearing
남친한테 교회 가자고 하고 싶어,I want to go to my boyfriend.
남편이 나 안 도와줘,Husband I do not help me.
남편이 나보다 집안일 더 잘해,My husband is better than me.
남편이 맨날 늦게 들어와,My husband came in late
남편이 미워,Husband hate
남편이 아기를 안 돌봐줘,My husband looks carefully.
남편이 왜 애키우는거 안 도와줄까,Why do not my husband know why I am?
남편이 육아를 안해,My husband does not have parenting.
남편이 육아에 무신경해,My husband is in my child care.
남편이 집안일 안 도와줘,My husband does not help housework.
남편이 집안일 안 해,My husband does not have a house.
남편이 집안일을 너무 잘해,My husband is so good at home
남편이 짜증나게해,My husband is annoyed.
남편이 하나도 안 도와줘,I do not help my husband.
남편이 회식이라고 안와,My husband is a dinner.
남편이 회식하면 늦게 들어와,"If your husband is a member,"
낭만이 사라진 것 같아,I think the romance disappeared.
낭만이 없어,I do not have romance.
낭만이라고는 없어가지구,I do not have romance.
내 남자친구 보고 싶어,I want to see my boyfriend
내 남자친구 아이돌이면 좋겠다,I would like my boyfriend idol.
내 능력이 너무 모자라,My ability is too hard.
내 마음을 알아줬으면,If you know my heart
내 마음을 좀 알아 달라고,I'll know my heart.
내 몸이 여러 개 였으면 좋겠다,I wish I had multiple my body.
내 문제는 뭘까,What's my problem?
내 문제점이 뭘까,What's my problem?
내 배우자는 어디 있을까,Where is my spouse?
내 배우자도 어디 있을까,Where's my spouse?
내 사수 너무 깐깐해,I do not know what to do.
내 생각대로 살거야,I'll live as I think.
내 생각이랑 다른 사람 생각이 진짜 다르다는 걸 느껴,I feel like I think I'm really different
내 성격 너무 소심해,My personality is so timid.
내 스타일 아니던데,I'm not my style.
내 스타일 아니야,I'm not my style.
내 실력 좀 쩌는 듯,I feel like my skills
내 얼굴이 읽히나,My face is read
내 여자친구 아이돌이야,My girlfriend is an idol.
내 외모 맘에 안들어,I do not like my appearance.
내 월급만 안 올라,I do not have a monthly month.
내 의견 좀 존중해 줬으면,If you respect my opinion
내 의견을 존중해줬으면,If you respect my opinion
내 의지는 상관없나봐,I do not care about my will.
내 의지로 안되는 일인가봐,I do not think it's my will.
내 이름이 없어,I do not have my name.
내 인생 답 없어,I do not have my life.
내 인생은 가시밭길 같아,My life is like a thorny field.
내 인생의 주인공은 나야,My life is the main character of my life.
내 일 아닌데 해야 돼,I have to do not.
내 자존감,My self-esteem
내 잘못이 뭔지 모르겠어,I do not know what my fault is.
내 잘못인 거 같은데 말을 못하겠어,I think it's my fault. I can not speak.
내 잘못인 거 같은데 어떻게 털어놓지,I think it's my fault.
내 주제를 모르고 덤빈건가,"I do not know my topic,"
내 지인한테 내 험담했대,I did my gossip to my acquaintance.
내 집이 생겼어,I have a house.
내 짝은 어디있을까,Where is my pair?
내 친구에게 내 험담을 하다니,I have my gossip to my friend
내 키 맞춰 봐,Let me guess my key.
내 키가 몇이게,My key is a few
내 편이 없는 거 같아,I do not think it's my side.
내 편이라고는 하나도 없는 거 같아,I think I have nothing to say.
내가 그렇게 부족한가,I have so lacking
내가 그르친 거 같아,I think I'm in.
내가 그사람이랑 진짜 결혼해도 될까,May I get a real marriage with him
내가 기대를 너무 많이 했나봐,I think I expected too much.
내가 나빴네,I was bad.
내가 너무 방심했어,I was so sick.
내가 너무 생각없이 말했어,I told you without thinking too much.
내가 너무 쉽게 보였나,I saw it too easy.
내가 너무 초라해,I'm so shabby.
내가 다른 무슨 말을 하겠어,What do I say?
내가 만족을 못해,I can not satisfy
내가 많이 부족한가,I have a lot of lack
내가 말하면 왜 비난만 할까,Why do I just criticize
내가 멍청한거지,I'm stupid.
내가 무능력하게 느껴져,I feel it's disability.
내가 뭘 잘못했을까,What did I do wrong?
내가 뭘 좋아하는지 잘하는지 모르겠어,I do not know what I like to do.
내가 바보지,I am a stupid
내가 부족하니까 이렇게 밖에 안된거겠지,I'm out of this way because I am lacking.
내가 불효녀야,I am not in an unusual.
내가 불효자야,I'm not a disagree.
내가 사랑할 자격이 있나,I am qualified to love
내가 쉬워보이나,I like it.
내가 쓸모없는 인간 같아,I like a useless human.
내가 아무것도 아닌 사람 같아,I think I am nothing.
내가 왜 해야하는지 모르겠어,I do not know why I should.
내가 원하는 사람이 되기 어려워,It's hard to be a person I want.
내가 이래뵈도 괜찮은 사람인데,I am a good idea to see this.
내가 이렇게 또 불효를 한다,I do this again
내가 이상한 건가,I am strange
내가 이상한 사람같아,I like a strange person.
내가 이상한가,I am strange
내가 잘못한 걸까,I did it wrong.
내가 잘못했다는데 뭔지 안 알려줘,"I was wrong, but I do not know what it was."
